,0,1
0,35.0,-7.198763934269677e-05
1,36.0,-7.25844105136602e-05
2,33.0,-7.069342863954818e-05
3,34.0,-7.134597878437488e-05
4,37.0,-7.312860395607516e-05
5,44.0,-7.635995743230671e-05
6,49.0,-7.818560180485597e-05
7,42.0,-7.554043113049616e-05
8,48.0,-7.783823047203386e-05
9,46.0,-7.712247944199675e-05
10,40.0,-7.463612232796057e-05
11,39.0,-7.41487635463423e-05
12,43.0,-7.595400398264058e-05
13,38.0,-7.364572118621455e-05
14,47.0,-7.74832602409877e-05
15,41.0,-7.508420786618474e-05
16,45.0,-7.674717409122951e-05
17,23.0,-6.327736350141229e-05
18,27.0,-6.652819626046198e-05
19,26.0,-6.575677687363623e-05
20,21.0,-6.14157805031756e-05
21,24.0,-6.412174062671636e-05
22,32.0,-7.003347287201116e-05
23,31.0,-6.936967953931744e-05
24,30.0,-6.867081680152325e-05
25,29.0,-6.793036208204694e-05
26,28.0,-6.726301839564556e-05
27,22.0,-6.236192530332986e-05
28,50.0,-7.852304206244835e-05
29,25.0,-6.490313930006177e-05
30,16.0,-5.62063641821914e-05
31,14.0,-5.3640122062720474e-05
32,20.0,-6.0544338490964236e-05
33,18.0,-5.844593294770764e-05
34,12.0,-5.06672750264337e-05
35,11.0,-4.908191542145454e-05
36,17.0,-5.731648692009409e-05
37,13.0,-5.214444025003669e-05
38,19.0,-5.947295778407914e-05
39,15.0,-5.4975234009705224e-05
40,9.0,-4.517142974554943e-05
41,10.0,-4.7230008689016744e-05
42,6.0,-3.8328548396621526e-05
43,7.0,-4.132144213964939e-05
44,4.0,-3.117005638209691e-05
45,8.0,-4.3304368644708175e-05
46,5.0,-3.578071994353257e-05
47,3.0,-2.5704050919779884e-05
48,2.0,-1.7976878205365595e-05
